"","Program.Code","From.Grade","To.Grade","Group.State","Is.Non.Annual.","Days","Travel.Type","Departure.Date","Return.Date","Deposit.Date","Special.Pay","Tuition","FRP.Active","FRP.Cancelled","FRP.Take.up.percent.","Early.RPL","Latest.RPL","Cancelled.Pax","Total.Discount.Pax","Initial.System.Date","Poverty.Code","Region","CRM.Segment","School.Type","Parent.Meeting.Flag","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","Income.Level","EZ.Pay.Take.Up.Rate","School.Sponsor","SPR.Product.Type","SPR.New.Existing","FPP","Total.Pax","SPR.Group.Revenue","NumberOfMeetingswithParents","FirstMeeting","LastMeeting","DifferenceTraveltoFirstMeeting","DifferenceTraveltoLastMeeting","SchoolGradeTypeLow","SchoolGradeTypeHigh","SchoolGradeType","DepartureMonth","GroupGradeTypeLow","GroupGradeTypeHigh","GroupGradeType","MajorProgramCode","SingleGradeTripFlag","FPP.to.School.enrollment","FPP.to.PAX","Num.of.Non_FPP.PAX","SchoolSizeIndicator","Retained.in.2012.","From.Grade_surrogate","To.Grade_surrogate","Special.Pay_surrogate","Early.RPL_surrogate","Latest.RPL_surrogate","Initial.System.Date_surrogate","CRM.Segment_surrogate","MDR.High.Grade_surrogate","Total.School.Enrollment_surrogate","FirstMeeting_surrogate","LastMeeting_surrogate","DifferenceTraveltoFirstMeeting_surrogate","DifferenceTraveltoLastMeeting_surrogate","FPP.to.School.enrollment_surrogate"
"1","HS","4","4","CA","0","1","A",2011-01-14,2011-01-14,2010-08-30,"FIXED_NA",424,25,3,0.424,2010-03-29,2010-08-12,3,4,2010-03-26,"B","Southern California","4","PUBLIC","1","K","5",927,"Q",0.17,"1","CA History","EXISTING",59,63,424,"1",2010-08-12,2010-08-12,155,155,"Elementary","Elementary","Elementary->Elementary","Other.DepartureMonth","K","Elementary","K->Elementary","H","1",0.06364617,0.936507937,4,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2","HC","8","8","AZ","0","7","A",2011-01-14,2011-01-21,2009-11-15,"CP",2350,9,9,0.409,2009-10-20,2010-08-10,11,3,2009-10-02,"C","Other","10","PUBLIC","1","7","8",850,"A",0.091,"0","East Coast","EXISTING",22,25,2350,"2",2009-11-17,2010-08-27,423,140,"Middle","Middle","Middle->Middle","Other.DepartureMonth","Middle","Middle","Middle->Middle","H","1",0.025882353,0.88,3,"L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","HD","8","8","FL","0","3","A",2011-01-15,2011-01-17,2010-10-15,"FIXED_NA",1181,17,6,0.708,2010-04-29,2010-08-16,6,3,2010-01-28,"C","Other","10","PUBLIC","1","6","8",955,"O",0.042,"0","East Coast","EXISTING",24,27,1181,"1",2010-09-13,2010-09-13,124,124,"Middle","Middle","Middle->Middle","Other.DepartureMonth","Middle","Middle","Middle->Middle","H","1",0.02513089,0.888888889,3,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"4","HN","9","12","VA","1","3","B",2011-01-15,2011-01-17,2011-01-07,"FIXED_NA",376,0,0,0,1900-01-01,1900-01-01,1,0,2010-10-19,"","Other","7","CHD","0","","FIXED_NA",0,"",0,"0","East Coast","EXISTING",18,18,376,"0",1900-01-01,1900-01-01,0,0,"High","High","High->High","Other.DepartureMonth","Undefined","Undefined","Undefined->Undefined","H","0",0,1,0,"","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1"
"5","HD","6","8","FL","0","6","Other.Travel.Type",2011-01-16,2011-01-21,2010-09-30,"FIXED_NA",865,40,8,0.494,2010-03-29,2010-08-12,9,8,2010-03-23,"D","Other","10","PUBLIC","1","6","8",720,"C",0.383,"0","East Coast","EXISTING",81,89,865,"1",2010-08-24,2010-08-24,145,145,"Middle","Middle","Middle->Middle","Other.DepartureMonth","Middle","Middle","Middle->Middle","H","0",0.1125,0.91011236,8,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"6","HC","10","12","LA","0","4","A",2011-01-17,2011-01-20,2010-09-30,"FIXED_NA",2025,9,4,0.9,2010-03-16,2010-10-06,3,1,2010-03-16,"C","Other","8","PUBLIC","1","Other.MDR.Low.Grade","12",939,"I",0.1,"0","East Coast","NEW",10,11,2025,"1",2010-10-18,2010-10-18,91,91,"High","High","High->High","Other.DepartureMonth","High","High","High->High","H","0",0.010649627,0.909090909,1,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"7","SG","11","12","MA","1","6","A",2011-01-18,2011-01-23,2010-10-15,"FIXED_NA",1977,16,4,0.64,2010-02-25,2010-09-01,5,2,2010-02-25,"","Other","8","Catholic","1","9","12",225,"G",0.08,"0","Science","EXISTING",25,27,1977,"1",2010-11-16,2010-11-16,63,63,"High","High","High->High","Other.DepartureMonth","High","High","High->High","S","0",0.111111111,0.925925926,2,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8","Other.Program.Code","9","9","Other.Group.State","0","8","A",2011-01-24,2011-01-31,2010-10-01,"FIXED_NA",3379,10,0,0.769,2010-06-04,2010-08-23,1,1,2010-05-25,"","Other","7","CHD","1","","FIXED_NA",0,"",0,"0","East Coast","EXISTING",13,14,3379,"1",2010-09-08,2010-09-08,138,138,"High","High","High->High","Other.DepartureMonth","Undefined","Undefined","Undefined->Undefined","I","1",0,0.928571429,1,"","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1"
"9","CC","8","8","AZ","0","8","A",2011-01-29,2011-02-05,2010-06-01,"CP",2200,30,0,0.577,2010-02-12,2010-02-12,0,4,2010-02-11,"","Other","5","CHD","1","6","12",500,"K",0.231,"0","East Coast","EXISTING",52,56,2200,"1",2010-09-08,2010-09-08,143,143,"Middle","Middle","Middle->Middle","Other.DepartureMonth","Middle","High","Middle->High","C","1",0.104,0.928571429,4,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","HD","8","8","TX","0","4","A",2011-02-07,2011-02-10,2010-10-25,"FIXED_NA",1428,51,1,0.773,2010-04-01,2010-08-11,1,6,2010-03-31,"","Houston","5","Private non-Christian","1","PK","8",635,"K",0.136,"0","East Coast","EXISTING",66,72,1428,"1",2010-09-14,2010-09-14,146,146,"Middle","Middle","Middle->Middle","February","PK","Middle","PK->Middle","H","1",0.103937008,0.916666667,6,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
