SalePrice LotFrontage LotArea OverallQual OverallCond YearBuilt YearRemod/Add MasVnrArea BsmtFinSF1 BsmtFinSF2 BsmtUnfSF 1stFlrSF 2ndFlrSF LowQualFinSF BsmtFullBath BsmtHalfBath FullBath HalfBath BedroomAbvGr KitchenAbvGr TotRmsAbvGrd Fireplaces GarageCars GarageArea WoodDeckSF OpenPorchSF EnclosedPorch 3SsnPorch ScreenPorch PoolArea MiscVal MoSold YrSold LotShape LandSlope Railroad ExterQual ExterCond BsmtQual BsmtCond BsmtExposure CentralAir KitchenQual Functional FireplaceQu GarageFinish GarageQual GarageCond PavedDrive Fence
215000 141 31770 6 5 1960 1960 112 639 0 441 1656 0 0 1 0 1 0 3 1 7 2 2 528 210 62 0 0 0 0 0 5 2010 1 0 0 3 3 3 4 4 1 3 8 4 3 3 3 1 0
105000 80 11622 5 6 1961 1961 0 468 144 270 896 0 0 0 0 1 0 2 1 5 0 1 730 140 0 0 0 120 0 0 6 2010 0 0 0 3 3 3 3 1 1 3 8 0 1 3 3 2 3
172000 81 14267 6 6 1958 1958 108 923 0 406 1329 0 0 0 0 1 1 3 1 6 0 1 312 393 36 0 0 0 0 12500 6 2010 1 0 0 3 3 3 3 1 1 4 8 0 1 3 3 2 0
244000 93 11160 7 5 1968 1968 0 1065 0 1045 2110 0 0 1 0 2 1 3 1 8 2 2 522 0 0 0 0 0 0 0 4 2010 0 0 0 4 3 3 3 1 1 5 8 3 3 3 3 2 0
189900 74 13830 5 5 1997 1998 0 791 0 137 928 701 0 0 0 2 1 3 1 6 1 2 482 212 34 0 0 0 0 0 3 2010 1 0 0 3 3 4 3 1 1 3 8 3 3 3 3 2 3
195500 78 9978 6 6 1998 1998 20 602 0 324 926 678 0 0 0 2 1 3 1 7 1 2 470 360 36 0 0 0 0 0 6 2010 1 0 0 3 3 3 3 1 1 4 8 4 3 3 3 2 0
213500 41 4920 8 5 2001 2001 0 616 0 722 1338 0 0 1 0 2 0 2 1 6 0 2 582 0 0 170 0 0 0 0 4 2010 0 0 0 4 3 4 3 2 1 4 8 0 3 3 3 2 0
191500 43 5005 8 5 1992 1992 0 263 0 1017 1280 0 0 0 0 2 0 2 1 5 0 2 506 0 82 0 0 144 0 0 1 2010 1 0 0 4 3 4 3 1 1 4 8 0 2 3 3 2 0
236500 39 5389 8 5 1995 1996 0 1180 0 415 1616 0 0 1 0 2 0 2 1 5 1 2 608 237 152 0 0 0 0 0 3 2010 1 0 0 4 3 4 3 1 1 4 8 3 2 3 3 2 0
189000 60 7500 7 5 1999 1999 0 0 0 994 1028 776 0 0 0 2 1 3 1 7 1 2 442 140 60 0 0 0 0 0 6 2010 0 0 0 3 3 3 3 1 1 4 8 3 3 3 3 2 0
